Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986 [YR1986],1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
European Union,3207027.876,3394658.754,3601853.474,3600834.643,3537180.606,3837936.058,3811572.377,3967127.253,4114434.176,4074379.24,3825160.605,3740677.772,3678981.264,3674224.812,3742372.008,3717496.507,3800176.353,3740672.048,3855628.229,3562660,3523680,3409310,3348670,3336380,3389850,3487250,3418590,3410320,3355390,3362290,3418140,3411220,3503750,3508990,3489300,3497050,3456800,3379180,3129340,3215040,3117130,3057640,2983560,2838990,2896820,2904100,2926600,2871000,..,..
Latin America & Caribbean,552797.3241,578914.4076,632157.8044,666400.8648,674556.6345,717864.1439,739110.1101,793615.9754,849417.826,892405.0632,883057.5829,907204.6197,865409.0932,879966.5834,907461.5823,924540.2854,970838.2437,994035.6361,1052388.492,899521.56,924182.4178,944563.712,974815.4485,1024289.643,1048116.951,1130638.321,1199782.243,1244844.726,1233591.811,1274171.426,1276987.196,1283696.25,1298313.857,1354314.131,1409297.882,1445292.976,1505460.996,1563575.639,1531575.482,1613466.607,1675332.222,1734371.901,1778631.33,1790321.349,1782849.902,1747810.34,1713340.032,1689187.436,..,..
Middle East & North Africa,363150.6996,390457.3659,460935.2019,467866.7243,461832.915,545327.5908,574150.0677,605319.8436,636916.4011,646136.356,626850.2412,632516.1353,675448.1601,723163.0826,764752.217,816348.6449,827658.3582,883735.9932,913084.5888,847589.5366,914400.2082,955837.0716,1007337.173,1078221.299,1115775.338,1153349.443,1189197.848,1196532.073,1240768.182,1286168.135,1350731.384,1409355.014,1459139.449,1544912.753,1669805.265,1769544.698,1860354.638,1972254.236,2056000.846,2139556.826,2181023.789,2307912.896,2351557.05,2443881.993,2477603.373,2495121.234,2529043.276,2531611.759,..,..
East Asia & Pacific,2245063.048,2364536.965,2521716.781,2547405.738,2690218.037,2825063.672,3031270.826,3204082.709,3328648.299,3323288.839,3291061.417,3412725.981,3520967.721,3766238.305,3945521.706,4089200.594,4290089.2,4644594.568,4795868.193,4545253.93,4749295.596,4928672.655,5231578.41,5481613.343,5936533.205,6012555.994,6141774.802,6137536.744,6171273.365,6487816.436,6734567.923,7102051.612,7805467.659,8640176.286,9406374.858,10068470.88,10757242.91,10956090.96,11446424.06,12423292.88,13409665.63,13756716.1,14185336.65,14155188.45,14136568.74,14170430.39,14433707.89,14810056.87,..,..
South Asia,257320.724,245637.662,254691.485,263356.606,285677.635,297283.69,314921.96,321225.533,338423.763,359501.679,387715.577,402746.61,435192.226,447627.023,492357.089,526174.163,562132.765,606881.166,660778.732,643080,686710,717340,747010,786940,849830,891420,942110,961900,1037180,1075940,1095440,1133540,1167850,1254230,1312050,1400870,1540250,1629080,1781870,1884320,1991420,2145490,2203550,2389180,2422620,2479230,2622720,2770040,..,..
North America,4710963.583,4947765.871,5153723.484,4990337.316,4805313.291,5014330.063,5152380.976,5308709.807,5345863.535,5168366.359,4967621.052,4723313.924,4752383.259,4902641.459,4916499.371,4902348.015,5121767.39,5350764.056,5420695.523,5266383.377,5223274.768,5308491.554,5425372.008,5514430.453,5578808.243,5748751.604,6029122.634,6080084.633,6108076.716,6294127.03,6258891.82,6122272.845,6207669.708,6279990.928,6308773.353,6200326.539,6314305.741,6116180.214,5682803.136,5930460.043,5722290.181,5499724.105,5648288.236,5666856.252,5543983.21,5441468.957,5378301.689,5558099.304,..,..
Africa Eastern and Southern,213550.9464,217837.9853,223290.2332,226298.37,231987.5087,240665.9833,246129.5118,250630.4364,268619.0944,280929.8942,308901.8061,329541.3846,344021.803,365909.7583,374516.7897,385101.671,388106.0476,404605.6778,401747.9479,309980.8254,304407.7236,300329.9719,306574.5771,312677.0287,330892.999,341412.3664,357963.1087,366634.4792,352429.2715,358460.6463,397075.6603,409057.1792,434533.1377,466883.2388,468365.6979,476590.2999,500147.1845,533634.5146,515682.5438,543808.6518,535604.3575,559333.8573,580510.925,601860.164,586385.004,592299.594,601323.3947,600351.1333,..,..